cell,batch,duration_ns
full/census/T_PG_plan,0,184924148
full/census/T_PG_plan,1,189515559
full/census/T_PG_plan,2,184767863
full/census/T_PG_plan,3,185198115
full/census/T_PG_plan,4,174439119
full/census/T_PG_plan,5,180777979
full/census/T_PG_plan,6,181684213
full/census/T_PG_plan,7,181783208
full/census/T_PG_plan,8,178891589
full/census/T_PG_plan,9,179345622
full/census/T_PG_plan,10,180434691
full/census/T_PG_plan,11,183350162
full/census/T_PG_plan,12,189767467
full/census/T_PG_plan,13,179296098
full/census/T_PG_plan,14,182973453
full/census/T_PG_plan,15,182320288
full/census/T_PG_plan,16,177512791
full/census/T_PG_plan,17,175177339
full/census/T_PG_plan,18,193492667
full/census/T_PG_plan,19,182075009
full/census/T_PG_plan,20,178722710
full/census/T_PG_plan,21,175393734
full/census/T_PG_plan,22,181415830
full/census/T_PG_plan,23,187479074
full/census/T_PG_plan,24,187626910
full/census/T_PG_plan,25,172652238
full/census/T_PG_plan,26,171841341
full/census/T_PG_plan,27,184620938
full/census/T_PG_plan,28,184086667
full/census/T_PG_plan,29,178274148
full/census/T_PG_CE,0,20653713
full/census/T_PG_CE,1,21313584
full/census/T_PG_CE,2,20845843
full/census/T_PG_CE,3,20724011
full/census/T_PG_CE,4,20300808
full/census/T_PG_CE,5,20453299
full/census/T_PG_CE,6,20723198
full/census/T_PG_CE,7,20496364
full/census/T_PG_CE,8,20365019
full/census/T_PG_CE,9,20358370
full/census/T_PG_CE,10,20324764
full/census/T_PG_CE,11,20668470
full/census/T_PG_CE,12,21091652
full/census/T_PG_CE,13,20478523
full/census/T_PG_CE,14,20518113
full/census/T_PG_CE,15,20387322
full/census/T_PG_CE,16,20188142
full/census/T_PG_CE,17,20313687
full/census/T_PG_CE,18,20820459
full/census/T_PG_CE,19,20483826
full/census/T_PG_CE,20,20301066
full/census/T_PG_CE,21,19959506
full/census/T_PG_CE,22,20327980
full/census/T_PG_CE,23,20600271
full/census/T_PG_CE,24,20818933
full/census/T_PG_CE,25,20128025
full/census/T_PG_CE,26,20107477
full/census/T_PG_CE,27,20692446
full/census/T_PG_CE,28,20670035
full/census/T_PG_CE,29,20129347
full/census/T_Replay_full,0,126368344
full/census/T_Replay_full,1,132244379
full/census/T_Replay_full,2,121567899
full/census/T_Replay_full,3,122589283
full/census/T_Replay_full,4,119735370
full/census/T_Replay_full,5,120302660
full/census/T_Replay_full,6,120467048
full/census/T_Replay_full,7,122399617
full/census/T_Replay_full,8,121005797
full/census/T_Replay_full,9,118921892
full/census/T_Replay_full,10,143132761
full/census/T_Replay_full,11,116166393
full/census/T_Replay_full,12,117051914
full/census/T_Replay_full,13,116135546
full/census/T_Replay_full,14,116439297
full/census/T_Replay_full,15,120672328
full/census/T_Replay_full,16,122982319
full/census/T_Replay_full,17,121415399
full/census/T_Replay_full,18,123844904
full/census/T_Replay_full,19,118585403
full/census/T_Replay_full,20,116019522
full/census/T_Replay_full,21,115949368
full/census/T_Replay_full,22,117846599
full/census/T_Replay_full,23,123263857
full/census/T_Replay_full,24,121851859
full/census/T_Replay_full,25,120642305
full/census/T_Replay_full,26,118238624
full/census/T_Replay_full,27,122085716
full/census/T_Replay_full,28,117821684
full/census/T_Replay_full,29,117472291
full/dmv/T_PG_plan,0,300703110
full/dmv/T_PG_plan,1,305011968
full/dmv/T_PG_plan,2,299158219
full/dmv/T_PG_plan,3,304062729
full/dmv/T_PG_plan,4,291464451
full/dmv/T_PG_plan,5,298614843
full/dmv/T_PG_plan,6,284133738
full/dmv/T_PG_plan,7,290609479
full/dmv/T_PG_plan,8,295138380
full/dmv/T_PG_plan,9,292065650
full/dmv/T_PG_plan,10,300538034
full/dmv/T_PG_plan,11,289661775
full/dmv/T_PG_plan,12,280422141
full/dmv/T_PG_plan,13,280502036
full/dmv/T_PG_plan,14,286462623
full/dmv/T_PG_plan,15,287247691
full/dmv/T_PG_plan,16,282464891
full/dmv/T_PG_plan,17,293945223
full/dmv/T_PG_plan,18,284747203
full/dmv/T_PG_plan,19,287304788
full/dmv/T_PG_plan,20,296213800
full/dmv/T_PG_plan,21,286602002
full/dmv/T_PG_plan,22,290557516
full/dmv/T_PG_plan,23,369949673
full/dmv/T_PG_plan,24,393936600
full/dmv/T_PG_plan,25,348519568
full/dmv/T_PG_plan,26,323793741
full/dmv/T_PG_plan,27,339437261
full/dmv/T_PG_plan,28,304994809
full/dmv/T_PG_plan,29,304322198
full/dmv/T_PG_CE,0,47672989
full/dmv/T_PG_CE,1,48129889
full/dmv/T_PG_CE,2,47868275
full/dmv/T_PG_CE,3,48529608
full/dmv/T_PG_CE,4,47857450
full/dmv/T_PG_CE,5,47871793
full/dmv/T_PG_CE,6,47368973
full/dmv/T_PG_CE,7,47486593
full/dmv/T_PG_CE,8,47985549
full/dmv/T_PG_CE,9,47532305
full/dmv/T_PG_CE,10,47694297
full/dmv/T_PG_CE,11,46568390
full/dmv/T_PG_CE,12,46039181
full/dmv/T_PG_CE,13,46211100
full/dmv/T_PG_CE,14,46245935
full/dmv/T_PG_CE,15,46407394
full/dmv/T_PG_CE,16,46248469
full/dmv/T_PG_CE,17,47128355
full/dmv/T_PG_CE,18,46962606
full/dmv/T_PG_CE,19,46558790
full/dmv/T_PG_CE,20,47144959
full/dmv/T_PG_CE,21,46845248
full/dmv/T_PG_CE,22,46543282
full/dmv/T_PG_CE,23,53168404
full/dmv/T_PG_CE,24,55663212
full/dmv/T_PG_CE,25,51303600
full/dmv/T_PG_CE,26,49396228
full/dmv/T_PG_CE,27,50459056
full/dmv/T_PG_CE,28,48518711
full/dmv/T_PG_CE,29,48255605
full/dmv/T_Replay_full,0,165439255
full/dmv/T_Replay_full,1,166357776
full/dmv/T_Replay_full,2,168774583
full/dmv/T_Replay_full,3,170246673
full/dmv/T_Replay_full,4,174327379
full/dmv/T_Replay_full,5,177821719
full/dmv/T_Replay_full,6,177013480
full/dmv/T_Replay_full,7,172140617
full/dmv/T_Replay_full,8,166771593
full/dmv/T_Replay_full,9,166483568
full/dmv/T_Replay_full,10,167458813
full/dmv/T_Replay_full,11,167551096
full/dmv/T_Replay_full,12,168939852
full/dmv/T_Replay_full,13,170016436
full/dmv/T_Replay_full,14,176676142
full/dmv/T_Replay_full,15,178927209
full/dmv/T_Replay_full,16,169690489
full/dmv/T_Replay_full,17,174153514
full/dmv/T_Replay_full,18,177257119
full/dmv/T_Replay_full,19,169370805
full/dmv/T_Replay_full,20,171520701
full/dmv/T_Replay_full,21,171146708
full/dmv/T_Replay_full,22,170742073
full/dmv/T_Replay_full,23,168447268
full/dmv/T_Replay_full,24,169333021
full/dmv/T_Replay_full,25,171164989
full/dmv/T_Replay_full,26,173769918
full/dmv/T_Replay_full,27,173596488
full/dmv/T_Replay_full,28,175021655
full/dmv/T_Replay_full,29,173202621
moves/census/ADD/groups/lower/full,0,155506002
moves/census/ADD/groups/lower/full,1,169811553
moves/census/ADD/groups/lower/full,2,157151165
moves/census/ADD/groups/lower/full,3,157768308
moves/census/ADD/groups/lower/full,4,155293773
moves/census/ADD/groups/lower/full,5,163124916
moves/census/ADD/groups/lower/full,6,157721880
moves/census/ADD/groups/lower/full,7,167615998
moves/census/ADD/groups/lower/full,8,164795722
moves/census/ADD/groups/lower/full,9,189532124
moves/census/ADD/groups/lower/full,10,159200603
moves/census/ADD/groups/lower/full,11,154430393
moves/census/ADD/groups/lower/full,12,156940239
moves/census/ADD/groups/lower/full,13,155068824
moves/census/ADD/groups/lower/full,14,155562194
moves/census/ADD/groups/lower/full,15,153612681
moves/census/ADD/groups/lower/full,16,155987436
moves/census/ADD/groups/lower/full,17,167773895
moves/census/ADD/groups/lower/full,18,157373435
moves/census/ADD/groups/lower/full,19,164905584
moves/census/ADD/groups/lower/full,20,160489135
moves/census/ADD/groups/lower/full,21,157419668
moves/census/ADD/groups/lower/full,22,155340473
moves/census/ADD/groups/lower/full,23,155134244
moves/census/ADD/groups/lower/full,24,154971589
moves/census/ADD/groups/lower/full,25,155508296
moves/census/ADD/groups/lower/full,26,163617230
moves/census/ADD/groups/lower/full,27,165569438
moves/census/ADD/groups/lower/full,28,161642211
moves/census/ADD/groups/lower/full,29,163516974
moves/census/ADD/groups/lower/incremental,0,117768278
moves/census/ADD/groups/lower/incremental,1,112036249
moves/census/ADD/groups/lower/incremental,2,104952591
moves/census/ADD/groups/lower/incremental,3,104295650
moves/census/ADD/groups/lower/incremental,4,105076036
moves/census/ADD/groups/lower/incremental,5,106078502
moves/census/ADD/groups/lower/incremental,6,105269348
moves/census/ADD/groups/lower/incremental,7,110930178
moves/census/ADD/groups/lower/incremental,8,104891802
moves/census/ADD/groups/lower/incremental,9,106616004
moves/census/ADD/groups/lower/incremental,10,105815334
moves/census/ADD/groups/lower/incremental,11,106381142
moves/census/ADD/groups/lower/incremental,12,110293726
moves/census/ADD/groups/lower/incremental,13,105548156
moves/census/ADD/groups/lower/incremental,14,108289821
moves/census/ADD/groups/lower/incremental,15,108738661
moves/census/ADD/groups/lower/incremental,16,104519309
moves/census/ADD/groups/lower/incremental,17,104608071
moves/census/ADD/groups/lower/incremental,18,105484721
moves/census/ADD/groups/lower/incremental,19,104975315
moves/census/ADD/groups/lower/incremental,20,107596777
moves/census/ADD/groups/lower/incremental,21,104873209
moves/census/ADD/groups/lower/incremental,22,104012495
moves/census/ADD/groups/lower/incremental,23,105752456
moves/census/ADD/groups/lower/incremental,24,104720845
moves/census/ADD/groups/lower/incremental,25,104421719
moves/census/ADD/groups/lower/incremental,26,108849824
moves/census/ADD/groups/lower/incremental,27,105140053
moves/census/ADD/groups/lower/incremental,28,106963018
moves/census/ADD/groups/lower/incremental,29,108553264
moves/census/ADD/groups/middle/full,0,158266860
moves/census/ADD/groups/middle/full,1,159007849
moves/census/ADD/groups/middle/full,2,156522138
moves/census/ADD/groups/middle/full,3,165080138
moves/census/ADD/groups/middle/full,4,174554796
moves/census/ADD/groups/middle/full,5,156385032
moves/census/ADD/groups/middle/full,6,159002385
moves/census/ADD/groups/middle/full,7,157257760
moves/census/ADD/groups/middle/full,8,155547756
moves/census/ADD/groups/middle/full,9,159595037
moves/census/ADD/groups/middle/full,10,158273017
moves/census/ADD/groups/middle/full,11,159867259
moves/census/ADD/groups/middle/full,12,159784701
moves/census/ADD/groups/middle/full,13,160138740
moves/census/ADD/groups/middle/full,14,160349341
moves/census/ADD/groups/middle/full,15,160017181
moves/census/ADD/groups/middle/full,16,162375584
moves/census/ADD/groups/middle/full,17,160257796
moves/census/ADD/groups/middle/full,18,163279848
moves/census/ADD/groups/middle/full,19,163634269
moves/census/ADD/groups/middle/full,20,162984492
moves/census/ADD/groups/middle/full,21,159548507
moves/census/ADD/groups/middle/full,22,162206797
moves/census/ADD/groups/middle/full,23,163425343
moves/census/ADD/groups/middle/full,24,161564444
moves/census/ADD/groups/middle/full,25,161161659
moves/census/ADD/groups/middle/full,26,159616917
moves/census/ADD/groups/middle/full,27,157899738
moves/census/ADD/groups/middle/full,28,159383962
moves/census/ADD/groups/middle/full,29,167090490
moves/census/ADD/groups/middle/incremental,0,196771079
moves/census/ADD/groups/middle/incremental,1,195083443
moves/census/ADD/groups/middle/incremental,2,198474466
moves/census/ADD/groups/middle/incremental,3,195180240
moves/census/ADD/groups/middle/incremental,4,196551702
moves/census/ADD/groups/middle/incremental,5,200272350
moves/census/ADD/groups/middle/incremental,6,205259785
