configuration_order,configuration,kind,subset,n_mcv,n_fd,n_total,repetition,seconds
0,EMPTY,empty,0,0,0,0,1,0.2535606750025181
0,EMPTY,empty,0,0,0,0,2,0.24069083499489352
0,EMPTY,empty,0,0,0,0,3,0.23858755100081908
0,EMPTY,empty,0,0,0,0,4,0.23820321200037142
0,EMPTY,empty,0,0,0,0,5,0.23358146200189367
0,EMPTY,empty,0,0,0,0,6,0.22918081199895823
0,EMPTY,empty,0,0,0,0,7,0.23079062099714065
0,EMPTY,empty,0,0,0,0,8,0.23570563399698585
0,EMPTY,empty,0,0,0,0,9,0.2332531200008816
0,EMPTY,empty,0,0,0,0,10,0.22755183100525755
1,MCV_2000_S2,mcv,2,2000,0,2000,1,4.093252778999158
1,MCV_2000_S2,mcv,2,2000,0,2000,2,4.000400097997044
1,MCV_2000_S2,mcv,2,2000,0,2000,3,3.8435832550021587
1,MCV_2000_S2,mcv,2,2000,0,2000,4,3.872455754004477
1,MCV_2000_S2,mcv,2,2000,0,2000,5,3.6390842459950363
1,MCV_2000_S2,mcv,2,2000,0,2000,6,3.747728795999137
1,MCV_2000_S2,mcv,2,2000,0,2000,7,3.70998510899517
1,MCV_2000_S2,mcv,2,2000,0,2000,8,3.912204929998552
1,MCV_2000_S2,mcv,2,2000,0,2000,9,3.840270575004979
1,MCV_2000_S2,mcv,2,2000,0,2000,10,3.7834781159981503
2,FD_50_S0,fd,0,0,50,50,1,0.3786993270041421
2,FD_50_S0,fd,0,0,50,50,2,0.36307766800018726
2,FD_50_S0,fd,0,0,50,50,3,0.37633430099958787
2,FD_50_S0,fd,0,0,50,50,4,0.4025501970027108
2,FD_50_S0,fd,0,0,50,50,5,0.3693611359994975
2,FD_50_S0,fd,0,0,50,50,6,0.37005864099774044
2,FD_50_S0,fd,0,0,50,50,7,0.36464744900149526
2,FD_50_S0,fd,0,0,50,50,8,0.3754428679967532
2,FD_50_S0,fd,0,0,50,50,9,0.36753876200236846
2,FD_50_S0,fd,0,0,50,50,10,0.39964916899771197
3,MCV_1000_S2,mcv,2,1000,0,1000,1,2.0269185729994206
3,MCV_1000_S2,mcv,2,1000,0,1000,2,2.0153796980011975
3,MCV_1000_S2,mcv,2,1000,0,1000,3,2.0373326539993286
3,MCV_1000_S2,mcv,2,1000,0,1000,4,2.0329764950001845
3,MCV_1000_S2,mcv,2,1000,0,1000,5,2.5771689499961212
3,MCV_1000_S2,mcv,2,1000,0,1000,6,2.2295865600026445
3,MCV_1000_S2,mcv,2,1000,0,1000,7,2.0556295470014447
3,MCV_1000_S2,mcv,2,1000,0,1000,8,2.5223157459986396
3,MCV_1000_S2,mcv,2,1000,0,1000,9,2.258393887001148
3,MCV_1000_S2,mcv,2,1000,0,1000,10,2.045941304000735
4,FD_500_S1,fd,1,0,500,500,1,1.6150560690002749
4,FD_500_S1,fd,1,0,500,500,2,1.5906141359955654
4,FD_500_S1,fd,1,0,500,500,3,1.5727736019980512
4,FD_500_S1,fd,1,0,500,500,4,1.6186544929951197
4,FD_500_S1,fd,1,0,500,500,5,1.6993537150046905
4,FD_500_S1,fd,1,0,500,500,6,1.6339333619980607
4,FD_500_S1,fd,1,0,500,500,7,1.6523773400040227
4,FD_500_S1,fd,1,0,500,500,8,1.6202051670043147
4,FD_500_S1,fd,1,0,500,500,9,1.6000900149956578
4,FD_500_S1,fd,1,0,500,500,10,1.5980000759955146
5,FD_500_S2,fd,2,0,500,500,1,1.6188998540019384
5,FD_500_S2,fd,2,0,500,500,2,1.5954077459973632
5,FD_500_S2,fd,2,0,500,500,3,1.5992194339996786
5,FD_500_S2,fd,2,0,500,500,4,1.58533710300253
5,FD_500_S2,fd,2,0,500,500,5,1.6039249769964954
5,FD_500_S2,fd,2,0,500,500,6,1.5950834059985937
5,FD_500_S2,fd,2,0,500,500,7,1.6408720430044923
5,FD_500_S2,fd,2,0,500,500,8,1.6124236079995171
5,FD_500_S2,fd,2,0,500,500,9,1.6330244749988196
5,FD_500_S2,fd,2,0,500,500,10,1.5728289149992634
6,MCV_200_S1,mcv,1,200,0,200,1,0.6068531799974153
6,MCV_200_S1,mcv,1,200,0,200,2,0.589904585001932
6,MCV_200_S1,mcv,1,200,0,200,3,0.5885860260023037
6,MCV_200_S1,mcv,1,200,0,200,4,0.629264287003025
6,MCV_200_S1,mcv,1,200,0,200,5,0.5932688699977007
6,MCV_200_S1,mcv,1,200,0,200,6,0.6355970940057887
6,MCV_200_S1,mcv,1,200,0,200,7,0.6156000470000436
6,MCV_200_S1,mcv,1,200,0,200,8,0.5945081149984617
6,MCV_200_S1,mcv,1,200,0,200,9,0.5908004230004735
6,MCV_200_S1,mcv,1,200,0,200,10,0.5894776010027272
7,MCV_2253_S0,mcv,0,2253,0,2253,1,4.344894539004599
7,MCV_2253_S0,mcv,0,2253,0,2253,2,4.33289353800501
7,MCV_2253_S0,mcv,0,2253,0,2253,3,4.386482406000141
7,MCV_2253_S0,mcv,0,2253,0,2253,4,4.214003838998906
7,MCV_2253_S0,mcv,0,2253,0,2253,5,4.711130209005205
7,MCV_2253_S0,mcv,0,2253,0,2253,6,4.67161056400073
7,MCV_2253_S0,mcv,0,2253,0,2253,7,4.574115636001807
7,MCV_2253_S0,mcv,0,2253,0,2253,8,4.442872425999667
7,MCV_2253_S0,mcv,0,2253,0,2253,9,4.43298277699796
7,MCV_2253_S0,mcv,0,2253,0,2253,10,4.480785260995617
