round,loss_before,loss_after,selected_mcv,selected_fd,used_bytes,feasible,pruned,numerical,fd_only,mcv_fd,best_move,move_class,delta,max_move_error,false_prunes,fast_false_positives,cache_invalidations,cache_preserved,mcv_boundary_changed,fd_trace_changed
0,806.4435750580903,806.2508005257298,206,54,104514,412280,1584,388610,1450,20636,"[""swap"", [""mcv"", 7], [""mcv"", 33]]",mcv_to_mcv_swap,-0.19277453236051634,1.8189894035458565e-12,0,0,743,10866,9,1
1,806.2508005257298,805.9390456588194,206,54,104900,659255,6559,620472,826,31398,"[""swap"", [""mcv"", 469], [""mcv"", 648]]",mcv_to_mcv_swap,-0.31175486691038734,1.8189894035458565e-12,0,0,318,11300,5,0
2,805.9390456588194,805.8329257763551,206,54,105014,503498,924,478082,844,23648,"[""swap"", [""mcv"", 1153], [""mcv"", 1303]]",mcv_to_mcv_swap,-0.10611988246435144,1.8189894035458565e-12,0,0,264,11351,2,0
3,805.8329257763551,805.7607506912958,206,54,104814,437997,459,416938,850,19750,"[""swap"", [""mcv"", 908], [""mcv"", 2210]]",mcv_to_mcv_swap,-0.07217508505923043,1.8189894035458565e-12,0,0,177,11437,5,1
4,805.7607506912958,805.6510480946995,206,54,105024,554284,1046,526374,841,26023,"[""swap"", [""mcv"", 763], [""mcv"", 2066]]",mcv_to_mcv_swap,-0.10970259659633341,1.8189894035458565e-12,0,0,168,11450,5,0
5,805.6510480946995,805.5898979398887,206,54,105020,433933,361,413433,836,19303,"[""swap"", [""mcv"", 942], [""mcv"", 824]]",mcv_to_mcv_swap,-0.06115015481078956,1.8189894035458565e-12,0,0,389,11228,7,0
6,805.5898979398887,805.5347441689044,206,54,105020,435767,324,414995,864,19584,"[""swap"", [""mcv"", 1061], [""mcv"", 447]]",mcv_to_mcv_swap,-0.05515377098432617,1.8189894035458565e-12,0,0,436,11181,5,0
7,805.5347441689044,805.5019360263619,206,54,105046,435767,191,415109,890,19577,"[""swap"", [""mcv"", 734], [""mcv"", 773]]",mcv_to_mcv_swap,-0.032808142542460006,1.8189894035458565e-12,0,0,303,11314,4,0
8,805.5019360263619,805.4961599656077,206,54,105060,420460,0,401102,861,18497,"[""swap"", [""fd"", 254], [""fd"", 200]]",fd_to_fd_swap,-0.005776060754233425,1.8189894035458565e-12,0,0,147,11469,0,1
9,805.4961599656077,805.4914853594487,206,54,105060,408897,0,390132,737,18028,"[""swap"", [""fd"", 127], [""fd"", 118]]",fd_to_fd_swap,-0.004674606158925787,1.8189894035458565e-12,0,0,177,11439,0,2
10,805.4914853594487,805.4875747829341,206,54,105060,408897,0,390115,729,18053,"[""swap"", [""fd"", 544], [""fd"", 125]]",fd_to_fd_swap,-0.003910576514699171,1.8189894035458565e-12,0,0,401,11215,0,2
11,805.4875747829341,805.4860317982586,206,54,105060,408897,0,389955,768,18174,"[""swap"", [""fd"", 568], [""fd"", 57]]",fd_to_fd_swap,-0.0015429846753887144,1.8189894035458565e-12,0,0,109,11507,0,3
12,805.4860317982586,805.484733778319,205,55,104561,408897,0,390183,735,17979,"[""swap"", [""mcv"", 1756], [""fd"", 629]]",mcv_to_fd_swap,-0.0012980199396832592,1.8189894035458565e-12,0,0,136,11480,1,1
13,805.484733778319,805.3492572373221,205,55,104997,648764,1783,615717,846,30418,"[""swap"", [""mcv"", 1313], [""mcv"", 630]]",mcv_to_mcv_swap,-0.1354765409967662,1.8189894035458565e-12,0,0,221,11397,5,0
14,805.3492572373221,805.3383840935082,205,55,105045,446642,23,425568,854,20197,"[""swap"", [""mcv"", 1303], [""mcv"", 1311]]",mcv_to_mcv_swap,-0.010873143813991515,1.8189894035458565e-12,0,0,184,11434,3,0
15,805.3383840935082,805.3305110774396,205,55,105045,419594,0,400310,864,18420,"[""swap"", [""fd"", 88], [""fd"", 623]]",fd_to_fd_swap,-0.007873016068544736,1.8189894035458565e-12,0,0,50,11568,0,1
16,805.3305110774396,805.3297072064033,205,55,105059,419594,0,400414,846,18334,"[""swap"", [""fd"", 297], [""fd"", 3]]",fd_to_fd_swap,-0.0008038710363553747,1.8189894035458565e-12,0,0,355,11263,0,5
17,805.3297072064033,805.3199320223206,205,55,105033,408014,2,389070,807,18135,"[""swap"", [""mcv"", 773], [""mcv"", 112]]",mcv_to_mcv_swap,-0.009775184082703614,1.8189894035458565e-12,0,0,356,11262,9,1
18,805.3199320223206,805.3164717666307,205,56,105060,428416,3,408342,909,19162,"[""toggle"", [""fd"", 90], null]",fd_add,-0.00346025568987951,1.8189894035458565e-12,0,0,128,11489,0,1
19,805.3164717666307,805.3164717666307,205,56,105060,407913,0,389156,799,17958,"[""swap"", [""fd"", 90], [""fd"", 216]]",fd_to_fd_swap,0.0002069792655468028,1.8189894035458565e-12,0,0,0,11617,0,0
