split_a,split_b,design_jaccard,identical_mcv_fraction,identical_fd_fraction,identical_control_fraction,identical_rows_1e12_fraction,mean_row_relative_difference,max_row_relative_difference,mean_absolute_qerror_difference,loss_a,loss_b
0,1,0.334841628959276,0.34615384615384615,0.7606837606837606,0.29273504273504275,0.2948717948717949,0.08919316112084609,0.9986778714174762,7.577531359783439,1021.967489756428,4097.083646289466
0,2,0.3579676674364896,0.32905982905982906,0.7970085470085471,0.28846153846153844,0.29273504273504275,0.09494623106932124,0.9712940539111306,0.9240067691558186,1021.967489756428,978.2944877250446
0,3,0.2907488986784141,0.30982905982905984,0.75,0.2670940170940171,0.27136752136752135,0.09667569722063862,0.9922037940242315,0.8883708969250584,1021.967489756428,938.7134826702159
0,4,0.39473684210526316,0.3974358974358974,0.7521367521367521,0.3333333333333333,0.33760683760683763,0.08000298082346367,0.9908753064478892,0.8580115199432106,1021.967489756428,960.8132025620874
0,5,0.4028436018957346,0.38247863247863245,0.782051282051282,0.33974358974358976,0.3482905982905983,0.09007200474715063,0.9753194026967279,9.055921809990615,1021.967489756428,5001.565692047358
0,6,0.30066815144766146,0.2905982905982906,0.7457264957264957,0.23717948717948717,0.24358974358974358,0.1002494050110666,0.99872163388541,5.258793189126774,1021.967489756428,3003.5218494534065
0,7,0.3356643356643357,0.34615384615384615,0.7799145299145299,0.30982905982905984,0.31196581196581197,0.08871188504762306,0.9801440145010119,1.0926829759484333,1021.967489756428,1150.2508321201044
0,8,0.314410480349345,0.3269230769230769,0.7414529914529915,0.2841880341880342,0.2863247863247863,0.0937017341578719,0.9836790544277003,1.2551475835710935,1021.967489756428,1146.5189538656036
0,9,0.3372093023255814,0.36752136752136755,0.7585470085470085,0.31837606837606836,0.31837606837606836,0.10130857359099875,0.9712924177213904,1.1985582593789743,1021.967489756428,1089.2505327251322
1,2,0.39631336405529954,0.38461538461538464,0.7948717948717948,0.344017094017094,0.3482905982905983,0.07556164012273126,0.9986778714174762,6.822246779866116,4097.083646289466,978.2944877250446
1,3,0.37272727272727274,0.34615384615384615,0.7884615384615384,0.3034188034188034,0.3055555555555556,0.08795024694341873,0.9986778714174762,7.453379760911772,4097.083646289466,938.7134826702159
