candidate,mechanism,cost,selection_frequency,selected_splits,train_structural,test_structural,train_consumers,test_consumers,train_positive,train_negative,test_positive,test_negative,train_benefit,test_benefit
mcv:623,mcv,266,1.0,10,44,16,38,13,27,11,5,8,9.413263322813902,0.5027014114345556
fd:324,fd,27,0.2,2,4,0,2,0,2,0,0,0,0.09106000493984112,0.0
mcv:1834,mcv,308,0.9,9,22,5,18,4,14,4,3,1,5.563476064634812,1.0670461021744035
mcv:40,mcv,840,1.0,10,79,21,75,21,50,25,15,6,205.089247154614,24.97444351193832
mcv:824,mcv,244,0.7,7,30,5,26,4,22,4,4,0,0.388326509349491,0.02755314362195982
fd:43,fd,27,0.9,9,23,4,12,2,12,0,1,1,0.028916346304594276,-0.00857417353789236
mcv:1434,mcv,518,0.3,3,8,4,4,2,4,0,1,1,0.500849330622267,0.022142336059075785
mcv:833,mcv,388,0.5,5,20,5,15,4,12,0,4,0,35.71247704856494,3817.6067148408783
fd:52,fd,27,0.3,3,10,2,4,1,3,1,0,1,0.007951360270124885,-0.01277592282389417
mcv:122,mcv,540,0.1,1,7,1,7,1,5,2,1,0,0.46304276405915834,0.0017969868155043311
mcv:1800,mcv,2170,0.9,9,21,6,14,3,14,0,3,0,115.94054864743102,0.9006506094558793
fd:180,fd,27,0.9,9,34,11,9,3,9,0,3,0,0.04592709046944088,0.016675006231448686
fd:726,fd,27,0.6,6,6,0,6,0,6,0,0,0,1.3139624719801979,0.0
mcv:970,mcv,512,0.5,5,22,3,5,0,5,0,0,0,1.9350542182531882,0.0
fd:125,fd,27,0.9,9,33,12,10,5,9,1,5,0,0.013069581258674301,0.012746703893085964
fd:70,fd,27,0.5,5,19,1,10,1,5,5,0,1,0.0027675863676757118,-0.03330474891432367
mcv:1946,mcv,948,0.6,6,11,1,7,0,6,1,0,0,5.225261868967751,0.0
mcv:1052,mcv,796,1.0,10,32,8,11,3,11,0,0,3,144.2101528545783,-3.040841195548805
mcv:1891,mcv,678,0.2,2,4,0,2,0,2,0,0,0,0.42880152739138544,0.0
mcv:570,mcv,340,0.1,1,6,0,5,0,4,1,0,0,0.9153297144803911,0.0
fd:326,fd,41,0.9,9,32,4,16,2,16,0,1,1,2.3534866681771067,0.004823690721393881
fd:683,fd,27,0.5,5,5,0,5,0,5,0,0,0,0.09714866213474349,0.0
mcv:753,mcv,410,0.7,7,25,10,19,9,15,4,3,6,4.296398884989778,-1.7866234604776117
