degree,candidate_count,candidate_ratio,incident_edge_count,incident_edge_ratio
1,13801,0.7171213302156404,13801,0.44727119522945297
2,3126,0.16243180046765393,6252,0.20261861550427793
3,797,0.041413354117952716,2391,0.07748898107337308
4,511,0.02655235126006755,2044,0.0662431941923775
5,383,0.019901273057937128,1915,0.062062483795696136
6,270,0.014029618082618862,1620,0.052501944516463575
7,168,0.00872954014029618,1176,0.038112522686025406
8,103,0.005352039490776825,824,0.026704692766398756
9,44,0.002286308131982333,396,0.012833808659579985
10,30,0.001558846453624318,300,0.009722582317863625
11,9,0.0004676539360872954,99,0.003208452164894996
12,1,5.1961548454143937e-05,12,0.000388903292714545
13,2,0.00010392309690828787,26,0.0008426238008815141
