max_retained_degree_k,removed_candidate_count,removed_candidate_ratio,removed_edge_count,removed_edge_ratio,remaining_candidate_count,component_count,nontrivial_component_count,giant_query_count,giant_query_ratio,giant_candidate_count,giant_candidate_ratio_of_remaining,giant_candidate_ratio_of_original
0,19245,1.0,30856,1.0,0,468,0,1,0.002136752136752137,0,0.0,0.0
1,5444,0.28287866978435955,17055,0.5527288047705471,13801,468,0,1,0.002136752136752137,244,0.017679878269690603,0.01267861782281112
2,2318,0.12044686931670563,10803,0.35011018926626913,16927,33,1,436,0.9316239316239316,16893,0.9979913747267679,0.8777864380358534
3,1521,0.07903351519875293,8412,0.27262120819289604,17724,21,1,448,0.9572649572649573,17713,0.9993793726021214,0.9203949077682515
4,1010,0.05248116393868537,6368,0.20637801400051853,18235,14,1,455,0.9722222222222222,18231,0.999780641623252,0.9473109898674981
5,627,0.032579890880748245,4453,0.1443155302048224,18618,10,1,459,0.9807692307692307,18615,0.999838865613922,0.9672642244738893
6,357,0.018550272798129385,2833,0.09181358568835883,18888,4,1,465,0.9935897435897436,18888,1.0,0.9814497272018706
7,189,0.009820732657833203,1657,0.05370106300233342,19056,4,1,465,0.9935897435897436,19056,1.0,0.9901792673421668
8,86,0.004468693167056378,833,0.026996370235934663,19159,2,1,467,0.9978632478632479,19159,1.0,0.9955313068329437
9,42,0.002182385035074045,437,0.01416256157635468,19203,2,1,467,0.9978632478632479,19203,1.0,0.9978176149649259
10,12,0.0006235385814497272,137,0.004439979258491055,19233,2,1,467,0.9978632478632479,19233,1.0,0.9993764614185503
11,3,0.0001558846453624318,38,0.0012315270935960591,19242,2,1,467,0.9978632478632479,19242,1.0,0.9998441153546376
12,2,0.00010392309690828787,26,0.0008426238008815141,19243,2,1,467,0.9978632478632479,19243,1.0,0.9998960769030917
13,0,0.0,0,0.0,19245,2,1,467,0.9978632478632479,19245,1.0,1.0
