candidate_degree,min,mean,median,p90,p95,p99,max
1,4,140.64785160495617,120,286.0,364.0,455.0,455
2,19,269.5345489443378,245.0,442.5,533.5,665.0,731
3,60,367.0539523212045,355,560.0,654.5999999999998,811.7999999999993,922
4,104,444.28767123287673,426,676.0,755.0,955.0999999999998,1080
5,171,541.3080939947781,517,786.2,876.6999999999999,1087.0,1201
6,164,618.4296296296296,601.0,873.1,951.3,1187.13,1240
7,332,740.5178571428571,742.0,1048.8000000000002,1129.8000000000002,1280.420000000001,1343
8,425,832.5825242718447,834,1128.6,1178.9999999999998,1451.4800000000007,1475
9,495,918.25,899.5,1163.1,1229.1,1593.99,1726
10,632,1112.7,1065.5,1574.0000000000002,1656.65,1662.97,1665
11,840,1209.3333333333333,1192,1402.4,1453.2,1493.84,1504
12,1796,1796.0,1796,1796.0,1796.0,1796.0,1796
13,1132,1166.0,1166.0,1193.2,1196.6,1199.32,1200
