degree,candidate_count,candidate_ratio,incident_edge_count,incident_edge_ratio
1,130,0.05770084332001776,130,0.01300260052010402
2,287,0.12738570794496226,574,0.057411482296459294
3,372,0.16511318242343542,1116,0.11162232446489298
4,460,0.2041722148246782,1840,0.1840368073614723
5,377,0.1673324456280515,1885,0.1885377075415083
6,270,0.11984021304926765,1620,0.16203240648129627
7,168,0.07456724367509987,1176,0.11762352470494099
8,103,0.04571682201509099,824,0.08241648329665933
9,44,0.019529516200621395,396,0.03960792158431686
10,30,0.013315579227696404,300,0.030006001200240048
11,9,0.0039946737683089215,99,0.009901980396079216
12,1,0.0004438526409232135,12,0.001200240048009602
13,2,0.000887705281846427,26,0.002600520104020804
