max_retained_degree_k,removed_candidate_count,removed_candidate_ratio,removed_edge_count,removed_edge_ratio,remaining_candidate_count,component_count,nontrivial_component_count,giant_query_count,giant_query_ratio,giant_candidate_count,giant_candidate_ratio_of_remaining,giant_candidate_ratio_of_original
0,2253,1.0,9998,1.0,0,468,0,1,0.002136752136752137,0,0.0,0.0
1,2123,0.9422991566799822,9868,0.986997399479896,130,468,0,1,0.002136752136752137,3,0.023076923076923078,0.0013315579227696406
2,1836,0.8149134487350199,9294,0.9295859171834366,417,204,24,226,0.4829059829059829,334,0.8009592326139089,0.14824678206835332
3,1464,0.6498002663115846,8178,0.8179635927185437,789,63,2,405,0.8653846153846154,784,0.9936628643852978,0.3479804704837994
4,1004,0.4456280514869064,6338,0.6339267853570714,1249,25,1,444,0.9487179487179487,1249,1.0,0.5543719485130937
5,627,0.2782956058588549,4453,0.44538907781556314,1626,12,1,457,0.9764957264957265,1626,1.0,0.7217043941411452
6,357,0.1584553928095872,2833,0.28335667133426684,1896,4,1,465,0.9935897435897436,1896,1.0,0.8415446071904128
7,189,0.08388814913448735,1657,0.16573314662932587,2064,4,1,465,0.9935897435897436,2064,1.0,0.9161118508655126
8,86,0.03817132711939636,833,0.08331666333266653,2167,2,1,467,0.9978632478632479,2167,1.0,0.9618286728806036
9,42,0.018641810918774968,437,0.04370874174834967,2211,2,1,467,0.9978632478632479,2211,1.0,0.9813581890812251
10,12,0.005326231691078562,137,0.013702740548109622,2241,2,1,467,0.9978632478632479,2241,1.0,0.9946737683089214
11,3,0.0013315579227696406,38,0.003800760152030406,2250,2,1,467,0.9978632478632479,2250,1.0,0.9986684420772304
12,2,0.000887705281846427,26,0.002600520104020804,2251,2,1,467,0.9978632478632479,2251,1.0,0.9991122947181535
13,0,0.0,0,0.0,2253,2,1,467,0.9978632478632479,2253,1.0,1.0
