candidate_degree,min,mean,median,p90,p95,p99,max
1,3,32.40769230769231,28.0,55.0,66.0,78.0,78
2,11,62.8815331010453,63,96.40000000000003,110.09999999999997,130.0,142
3,27,91.45430107526882,88.5,130.0,143.79999999999995,171.74000000000012,184
4,45,118.11739130434782,117.0,158.0,170.0,210.0,233
5,65,145.83023872679044,143,190.0,205.2,234.68000000000006,263
6,66,167.38148148148147,164.0,215.1,232.54999999999998,267.55,278
7,111,196.23809523809524,197.0,248.3,264.65,287.6300000000001,305
8,130,218.67961165048544,222,269.4,282.9,323.32000000000016,342
9,148,241.04545454545453,240.5,284.0,291.4,352.05,380
10,196,280.3666666666667,270.0,363.2,369.95,379.68,382
11,236,305.1111111111111,303,337.8,349.4,358.68,361
12,409,409.0,409,409.0,409.0,409.0,409
13,296,301.5,301.5,305.9,306.45,306.89,307
