neighborhood_size,candidate_count,candidate_ratio
3,1,0.0004438526409232135
6,5,0.0022192632046160675
10,7,0.0031069684864624943
11,1,0.0004438526409232135
12,1,0.0004438526409232135
15,16,0.007101642254771416
17,2,0.000887705281846427
19,2,0.000887705281846427
20,2,0.000887705281846427
21,22,0.009764758100310697
22,1,0.0004438526409232135
24,6,0.002663115845539281
27,1,0.0004438526409232135
28,24,0.010652463382157125
29,2,0.000887705281846427
30,6,0.002663115845539281
31,3,0.0013315579227696406
33,8,0.003550821127385708
35,8,0.003550821127385708
36,19,0.008433200177541057
37,9,0.0039946737683089215
38,3,0.0013315579227696406
39,7,0.0031069684864624943
40,5,0.0022192632046160675
41,4,0.001775410563692854
42,8,0.003550821127385708
44,4,0.001775410563692854
45,25,0.011096316023080338
46,6,0.002663115845539281
47,2,0.000887705281846427
48,15,0.006657789613848202
49,2,0.000887705281846427
50,6,0.002663115845539281
51,5,0.0022192632046160675
52,1,0.0004438526409232135
53,7,0.0031069684864624943
54,14,0.006213936972924989
55,22,0.009764758100310697
56,4,0.001775410563692854
57,10,0.004438526409232135
58,2,0.000887705281846427
59,10,0.004438526409232135
60,9,0.0039946737683089215
61,11,0.004882379050155349
62,12,0.005326231691078562
63,25,0.011096316023080338
64,10,0.004438526409232135
65,10,0.004438526409232135
66,17,0.007545494895694629
67,11,0.004882379050155349
68,10,0.004438526409232135
69,9,0.0039946737683089215
70,12,0.005326231691078562
71,8,0.003550821127385708
72,20,0.00887705281846427
73,9,0.0039946737683089215
74,4,0.001775410563692854
75,15,0.006657789613848202
76,13,0.005770084332001775
77,11,0.004882379050155349
78,18,0.007989347536617843
79,9,0.0039946737683089215
80,17,0.007545494895694629
81,15,0.006657789613848202
82,12,0.005326231691078562
83,9,0.0039946737683089215
84,13,0.005770084332001775
85,5,0.0022192632046160675
86,9,0.0039946737683089215
87,11,0.004882379050155349
88,18,0.007989347536617843
89,12,0.005326231691078562
90,17,0.007545494895694629
91,8,0.003550821127385708
92,21,0.009320905459387484
93,10,0.004438526409232135
94,10,0.004438526409232135
95,10,0.004438526409232135
96,18,0.007989347536617843
97,13,0.005770084332001775
98,10,0.004438526409232135
99,13,0.005770084332001775
100,11,0.004882379050155349
101,8,0.003550821127385708
102,9,0.0039946737683089215
103,16,0.007101642254771416
104,10,0.004438526409232135
105,16,0.007101642254771416
106,10,0.004438526409232135
107,19,0.008433200177541057
