run,loss,frozen_relative_drift,storage,mcv_storage,fd_storage,consumed_mcv,consumed_fd,available_fd,semantic_matches_1e_12,semantic_max_relative_error,analyze_seconds,total_seconds
1,783.4132968899665,-0.027198220382373295,105119,103480,1639,205,55,55,468,6.578901108349084e-16,0.7632305710012588,1.3771072819999972
2,810.9543510098111,0.0070008244470805,104926,103260,1666,205,56,56,468,6.554857080545635e-16,0.7729536570004711,1.3598322319994622
3,809.1879151483738,0.004807356508243599,104824,103198,1626,205,54,54,468,7.097777706941616e-15,0.7594315490005101,1.3185153610011184
4,785.2401198942358,-0.024929766838561185,104438,102826,1612,205,54,54,468,7.082613464969039e-15,0.7463234919996466,1.3024492950007698
5,798.809881809794,-0.008079544110855097,104199,102642,1557,205,53,53,468,5.632156462274854e-16,0.7514753020004719,1.3105670969998755
6,764.9826781851269,-0.050084401593106787,104782,103198,1584,205,54,54,468,6.937267089715978e-15,0.7553995760008547,1.3466821319998417
7,784.6340759877586,-0.02568232055840225,104728,103130,1598,205,54,54,468,6.8073951064430055e-16,0.763355392999074,1.3347824929987837
8,811.6982934484189,0.007924613373160527,105198,103600,1598,205,54,54,468,6.941969162259585e-16,0.7590196559995093,1.3221979339996324
9,788.3338495986774,-0.02108813461954695,104698,103100,1598,205,54,54,468,6.333261358948864e-16,0.7560398909990909,1.3312906219998695
10,793.52673003664,-0.014639886483542863,105070,103512,1558,205,52,52,468,7.230175133349061e-15,0.7634014019986353,1.3320653359987773
11,799.8443481356657,-0.006794997771448541,104436,102824,1612,205,54,54,468,7.782052299454843e-16,0.7715766119999898,1.3321731169999111
12,801.4511491834597,-0.004799756019756463,104207,102582,1625,205,55,55,468,7.01279703162344e-16,0.75556460199914,1.3440619299999526
13,828.5812705206753,0.028889013909039196,104613,102974,1639,205,55,55,468,8.919486583403714e-16,0.7540590429998701,1.3116442280006595
14,781.5816268321156,-0.029472692744564988,104880,103268,1612,205,54,54,468,5.968347224016828e-16,0.7620576389999769,1.3218871379995107
15,789.0004230689482,-0.020260418443807326,105159,103520,1639,205,55,55,468,5.784437799549813e-16,0.7561511809999502,1.3327936280002177
16,798.0658302633211,-0.009003468521392333,104613,102974,1639,205,55,55,468,7.779961699465311e-16,0.7553067259996169,1.3275514889992337
17,791.8493938010648,-0.01672271515324031,105040,103456,1584,205,54,54,468,8.309405817910638e-15,0.7565573529991525,1.3163404770002671
18,820.097593567419,0.018354426264699297,104691,103052,1639,205,55,55,468,8.701587478597039e-15,0.7564925149999908,1.3366343659999984
19,786.6470225924227,-0.023182748433361433,104771,103118,1653,205,55,55,468,7.009878375696942e-16,0.7559639560004143,1.3121483030008676
20,791.7281572287675,-0.016873260406625512,104924,103326,1598,205,54,54,468,1.0754623934642826e-14,0.7881249350011785,1.3473966880010266
21,796.0510080497958,-0.011505369679710165,104907,103268,1639,205,55,55,468,5.872517214357989e-16,0.7668120819998876,1.3558334339995781
22,790.2355859421399,-0.018726657597612162,104344,102746,1598,205,54,54,468,1.3141450900537748e-14,0.8225284020008985,1.3775853910010483
23,798.137351222602,-0.008914657523743208,104652,103054,1598,205,54,54,468,6.725754609068339e-16,0.7881604220001464,1.3460685339996417
24,806.5930253643023,0.0015851576894625463,105000,103388,1612,205,54,54,468,7.623993968035584e-15,0.7654753629994957,1.3424181969985511
25,811.2986361103458,0.007428339731573974,104736,103138,1598,205,54,54,468,6.118053566279508e-15,0.7614401940008975,1.3697765720007737
26,790.4866020291879,-0.018414958910390022,104617,102992,1625,205,55,55,468,8.184894021902139e-16,0.8694724169999972,1.5085801360000914
27,823.4196692651069,0.022479606630624316,104881,103256,1625,205,55,55,468,8.014009635990459e-16,0.7609820519992354,1.3377797520006425
28,805.6123308619043,0.0003673823964194245,104427,102842,1585,205,53,53,468,6.298518383571008e-15,0.809790122000777,1.4483508680004888
29,817.0414811499678,0.014559505231050096,104967,103328,1639,205,55,55,468,5.974761192509395e-15,0.8551257789986266,1.5237900119991536
30,770.4636062054782,-0.043278470990038787,105038,103426,1612,205,54,54,468,6.639885185383999e-16,0.7740203490011481,1.345787686001131
