round,loss_before,selected_count,used_bytes,feasible_add,feasible_drop,feasible_swap,safe_pruned,cached_numerical,local_control_replay,full_replay,query_control_replays,query_numerical_updates,query_inspections,cache_invalidations,queries_invalidated,cache_hits,cache_lookups,cache_hit_rate,best_move,delta,loss_after,oracle_equal,max_move_error,false_safe_prunes,fast_false_positives
0,812.6711732498424,208,104968,0,208,283164,99533,172180,11659,0,20369,1795896,2572623,505,15,1792865,1802854,0.9944593405788822,"[""swap"", 383, 4]",-3.4043393848728023,809.2668338649695,True,0.0,0,0
1,809.2668338649695,208,104978,0,208,278635,1165,264316,13362,0,14728,2516625,2535917,574,13,2512236,2512741,0.999799024252798,"[""swap"", 170, 389]",-0.4207230374294031,808.8461108275401,True,0.0,0,0
2,808.8461108275401,208,104662,1108,208,374831,1380,356699,18068,0,19875,3400979,3425784,394,12,3395286,3395869,0.9998283208215629,"[""swap"", 902, 336]",-0.38652604413176617,808.4595847834083,True,0.0,0,0
3,808.4595847834083,208,104184,1855,208,414961,806,396346,19872,0,21775,3781297,3805664,263,8,3774958,3775352,0.9998956388702298,"[""swap"", 1090, 1063]",-0.29119223287586693,808.1683925505325,True,0.0,0,0
4,808.1683925505325,208,104390,1673,208,404725,881,386437,19288,0,21101,3684677,3708659,340,10,3678544,3678807,0.9999285094325416,"[""swap"", 408, 1082]",-0.31107582666348277,807.857316723869,True,0.0,0,0
5,807.857316723869,208,104306,1763,208,409746,714,391443,19560,0,21401,3729152,3752844,171,5,3722943,3723283,0.999908682740474,"[""toggle"", 953, null]",-0.27544878705793274,807.581867936811,True,0.0,0,0
6,807.581867936811,209,104502,1504,209,396965,604,379255,18819,0,20564,3609328,3631806,610,19,3603295,3603466,0.9999525456879571,"[""swap"", 7, 11]",-0.2562279289701088,807.325640007841,True,0.0,0,0
7,807.325640007841,209,104926,0,209,301817,776,286698,14552,0,16072,2725287,2744231,215,6,2720769,2721377,0.9997765836927408,"[""swap"", 1153, 2101]",-0.3492725885390351,806.9763674193019,True,0.0,0,0
8,806.9763674193019,209,104986,0,209,274257,172,261306,12988,0,14199,2472342,2487067,359,9,2468249,2468463,0.9999133063772883,"[""swap"", 706, 1158]",-0.16945359378959868,806.8069138255123,True,0.0,0,0
9,806.8069138255123,209,104972,0,209,280584,102,267301,13390,0,14646,2528586,2543531,148,5,2524366,2524724,0.9998582023223133,"[""swap"", 1667, 2080]",-0.12138884737732325,806.685524978135,True,0.0,0,0
10,806.685524978135,209,104988,0,209,271980,92,259239,12858,0,14047,2448976,2463300,164,5,2444916,2445063,0.9999398788497474,"[""swap"", 1835, 2003]",-0.11619536189944557,806.5693296162356,True,0.0,0,0
11,806.5693296162356,209,104962,0,209,285148,39,271838,13480,0,14718,2567802,2582638,248,9,2563540,2563703,0.999936420092343,"[""swap"", 942, 1078]",-0.07960078293797035,806.4897288332976,True,0.0,0,0
12,806.4897288332976,209,105036,0,209,246371,5,234947,11628,0,12699,2214022,2226735,253,10,2210379,2210627,0.9998878146335859,"[""swap"", 2112, 112]",-0.033809086377900366,806.4559197469197,True,0.0,0,0
13,806.4559197469197,209,105058,0,209,234595,2,223770,11032,0,12031,2106425,2118461,369,12,2102927,2103180,0.9998797059690564,"[""swap"", 734, 306]",-0.027172942385644605,806.4287468045341,True,0.0,0,0
14,806.4287468045341,209,105036,0,209,246371,0,234898,11682,0,12781,2213585,2226366,130,4,2209913,2210282,0.9998330529769505,"[""swap"", 1711, 1316]",-0.004977611365286849,806.4237691931687,True,0.0,0,0
15,806.4237691931687,209,104508,1497,209,396421,237,379022,18868,0,20624,3610229,3631463,261,10,3604217,3604353,0.9999622678466843,"[""swap"", 880, 484]",-0.13427296574953407,806.2894962274192,True,0.0,0,0
16,806.2894962274192,209,104958,0,209,287705,6,274255,13653,0,14942,2597239,2612198,454,12,2592937,2593198,0.999899352074157,"[""swap"", 306, 824]",-0.03179423998811948,806.2577019874311,True,0.0,0,0
17,806.2577019874311,209,105054,0,209,237754,0,226604,11359,0,12439,2140393,2152832,0,0,2136857,2137311,0.9997875835570958,"[""swap"", 112, 536]",0.004072330846837557,806.2577019874311,True,0.0,0,0
