seed,train_queries,test_queries,train_mean,test_empty_mean,test_train_design_mean,test_full_reference_mean,test_oracle_mean,gain_mean,oracle_gain_mean,recovery,generalization_gap,mcv,fd,storage,train_full_jaccard,train_oracle_jaccard,improved,unchanged,worsened,train_runtime,oracle_runtime
0,374,94,1.7445960451900704,47.30533935706607,3.9307294559078896,1.482458217148706,1.2466121368966547,43.37460990115817,46.058727220169416,0.9417240231980216,2.186133410717819,194,92,105044,0.36069651741293535,0.03515625,43,20,31,57.09576423500039,9.782471662001626
1,374,94,1.511169854283644,60.65222756870928,37.57346937007855,2.4521946803024908,2.341999431077092,23.078758198630737,58.31022813763219,0.3957926239656777,36.062299515794905,206,98,105056,0.4125,0.05394990366088632,38,26,30,43.05303040000217,7.658431420000852
2,374,94,2.083926841649805,3.440134446177571,2.1160196696597615,1.7541038254011472,1.6523412265849522,1.3241147765178096,1.787793219592619,0.7406420172124455,0.03209282800995661,204,98,105056,0.4217171717171717,0.05533596837944664,36,29,29,53.98957695900026,10.185667968999041
3,374,94,1.6880037092826454,3.2658492396757564,3.2702137808351748,1.6739592035080892,1.5714387437644768,-0.0043645411594184225,1.6944104959112798,-0.0025758463902049345,1.5822100715525294,209,91,105041,0.44587628865979384,0.06936416184971098,50,14,30,79.27533987900097,10.130970815000182
4,374,94,1.7866146519280948,4.362784287707286,3.112971518521064,1.2784284983751322,1.2116048666260637,1.2498127691862224,3.1511794210812227,0.39661745720508373,1.326356866592969,202,95,105057,0.41265822784810124,0.06451612903225806,44,19,31,71.98182374500175,7.749624467000103
5,374,94,1.791405168020136,46.32679270575489,46.08063999157264,1.3356598489384817,1.21827795738303,0.24615271418225407,45.10851474837185,0.00545690133127557,44.289234823552505,207,99,105055,0.42105263157894735,0.0497131931166348,32,23,39,47.246810099997674,6.267525243001728
6,374,94,1.7891615178664486,28.99697015331553,24.833781295439945,1.4283677541596358,1.2425087212866248,4.163188857875586,27.754461432028904,0.15000070774463767,23.044619777573494,201,97,105061,0.41878172588832485,0.07003891050583658,42,26,26,54.89648813899839,11.58152759999939
7,374,94,1.550483497968137,16.665985386302527,6.0677659987236305,2.347679548317508,2.1962109213351337,10.598219387578897,14.469774464967394,0.7324384642786331,4.517282500755494,196,91,105049,0.4972677595628415,0.0855397148676171,41,23,30,70.05054787599875,12.029378206996626
8,374,94,2.037901167546982,4.718115575713366,4.088765076628004,1.976565365022148,1.831077788668384,0.6293504990853623,2.887037787044982,0.21799177756157184,2.050863909081022,205,111,105051,0.38369304556354916,0.07428571428571429,42,19,33,67.09640704599951,11.174586097000429
9,374,94,1.6558009706826615,27.400017469057886,4.9997975498916665,1.7430686198825345,1.6133371904273042,22.40021991916622,25.78668027863058,0.868674047109867,3.343996579209005,203,86,105056,0.4360313315926893,0.060836501901140684,44,17,33,74.25197169499734,13.038102366001112
