configuration,family,run_order,mcv_count,fd_count,total_count,subset_seed,phase,repetition,seconds,mcv_ids,fd_ids
fd_16_s0,fd_only,0,0,16,16,0,warmup,0,0.23533749699709006,,2;3;4;5;6;9;10;11;15;16;22;26;28;29;30;33
fd_16_s0,fd_only,0,0,16,16,0,measured,0,0.22136168999713846,,2;3;4;5;6;9;10;11;15;16;22;26;28;29;30;33
fd_16_s0,fd_only,0,0,16,16,0,measured,1,0.21650351899734233,,2;3;4;5;6;9;10;11;15;16;22;26;28;29;30;33
fd_16_s0,fd_only,0,0,16,16,0,measured,2,0.22511868800211232,,2;3;4;5;6;9;10;11;15;16;22;26;28;29;30;33
fd_16_s0,fd_only,0,0,16,16,0,measured,3,0.21717065799748525,,2;3;4;5;6;9;10;11;15;16;22;26;28;29;30;33
fd_16_s0,fd_only,0,0,16,16,0,measured,4,0.22215585999947507,,2;3;4;5;6;9;10;11;15;16;22;26;28;29;30;33
fd_16_s0,fd_only,0,0,16,16,0,measured,5,0.22213594200002262,,2;3;4;5;6;9;10;11;15;16;22;26;28;29;30;33
fd_16_s0,fd_only,0,0,16,16,0,measured,6,0.2263647080035298,,2;3;4;5;6;9;10;11;15;16;22;26;28;29;30;33
fd_24_s0,fd_only,1,0,24,24,0,warmup,0,0.2570250959979603,,4;5;6;7;8;11;13;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33
fd_24_s0,fd_only,1,0,24,24,0,measured,0,0.2569706770009361,,4;5;6;7;8;11;13;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33
fd_24_s0,fd_only,1,0,24,24,0,measured,1,0.2582057349936804,,4;5;6;7;8;11;13;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33
fd_24_s0,fd_only,1,0,24,24,0,measured,2,0.25519423600053415,,4;5;6;7;8;11;13;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33
fd_24_s0,fd_only,1,0,24,24,0,measured,3,0.25468076200195355,,4;5;6;7;8;11;13;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33
fd_24_s0,fd_only,1,0,24,24,0,measured,4,0.2615589659981197,,4;5;6;7;8;11;13;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33
fd_24_s0,fd_only,1,0,24,24,0,measured,5,0.2656070869998075,,4;5;6;7;8;11;13;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33
fd_24_s0,fd_only,1,0,24,24,0,measured,6,0.2630051779997302,,4;5;6;7;8;11;13;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33
fd_04_s0,fd_only,2,0,4,4,0,warmup,0,0.15346688700083178,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,0,0.1584061039975495,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,1,0.15966595000645611,,0;13;23;33
