candidate_id,mechanism,columns,arity,relation,frozen_payload_available,oid_rank,n,mean_seconds,median_seconds,sd_seconds,se_seconds,ci95_low_seconds,ci95_high_seconds,ci95_half_width_seconds,min_seconds,max_seconds,repeatability_pass
mcv:county:scofflaw_indicator,mcv,"['county', 'scofflaw_indicator']",2,dmv,True,12,21,0.0022469998095238073,0.005775380999999982,0.03237438097263847,0.007064669113545422,-0.012489638568574742,0.016983638187622357,0.014736638378098549,-0.134639047,0.034482164999999995,False
fd:body_type:registration_class,fd,"['body_type', 'registration_class']",2,dmv,True,3,21,0.00958718133333333,0.006770434999999991,0.008325030574645028,0.0018166706081491695,0.0057976736615466635,0.013376689005119995,0.0037895076717866663,-0.00035953999999999153,0.027921927999999985,True
mcv:fuel_type:state,mcv,"['fuel_type', 'state']",2,dmv,True,19,21,0.004236779809523812,0.00503199700000001,0.004940000091070226,0.001077996397638955,0.0019881192099156643,0.0064854404091319595,0.002248660599608148,-0.008077094999999979,0.01002380700000001,False
mcv:body_type:county,mcv,"['body_type', 'county']",2,dmv,True,0,21,0.008111864809523809,0.00695917900000001,0.009576463354770297,0.0020897556292002683,0.00375271188797033,0.012471017731077288,0.004359152921553479,-0.015999879000000022,0.03396581800000001,False
fd:revocation_indicator:scofflaw_indicator,fd,"['revocation_indicator', 'scofflaw_indicator']",2,dmv,True,30,21,0.00412519014285714,0.004857613999999982,0.012510524236668657,0.0027300202046720836,-0.0015695309933412534,0.009819911279055533,0.0056947211361983935,-0.019452313,0.046057678000000005,False
fd:fuel_type:revocation_indicator,fd,"['fuel_type', 'revocation_indicator']",2,dmv,True,17,21,0.0027185995714285724,0.005067722000000011,0.013828106146700806,0.0030175401492924083,-0.003575877531009868,0.009013076673867013,0.00629447710243844,-0.024570493,0.034486323999999985,False
fd:fuel_type:scofflaw_indicator,fd,"['fuel_type', 'scofflaw_indicator']",2,dmv,True,18,21,0.007582052285714284,0.0077828450000000104,0.011327955393522347,0.0024719625266618776,0.002425629917711094,0.012738474653717476,0.00515642236800319,-0.025571511000000005,0.029395537,False
fd:body_type:state,fd,"['body_type', 'state']",2,dmv,True,6,21,0.013308650714285714,0.008197962000000003,0.012385327210935635,0.002702699973852802,0.0076709185687278015,0.018946382859843625,0.005637732145557912,-0.008957982000000003,0.045134941,True
mcv:fuel_type:revocation_indicator,mcv,"['fuel_type', 'revocation_indicator']",2,dmv,True,17,21,0.00843387304761905,0.007974436999999987,0.01352363315110658,0.002951098694560004,0.0022779903614185814,0.01458975573381952,0.006155882686200469,-0.024834284999999984,0.027898916999999995,False
mcv:registration_class:suspension_indicator,mcv,"['registration_class', 'suspension_indicator']",2,dmv,True,29,21,0.005945894095238096,0.006221983999999986,0.00869236430533463,0.0018968293998727706,0.0019891781497912916,0.0099026100406849,0.003956715945446805,-0.009019494000000003,0.027853616999999997,False
mcv:county:registration_class,mcv,"['county', 'registration_class']",2,dmv,True,10,21,0.004769760761904761,0.005919705999999997,0.005330002124021359,0.001163101818457299,0.0023435734033701184,0.007195948120439404,0.0024261873585346427,-0.005468331999999992,0.012136820000000006,False
fd:record_type:suspension_indicator,fd,"['record_type', 'suspension_indicator']",2,dmv,True,25,21,0.0055509220000000015,0.00496982,0.007699276593351895,0.0016801198945446093,0.0020462540644160445,0.009055589935583959,0.003504667935583957,-0.004197784999999982,0.03366322599999999,False
mcv:county:revocation_indicator,mcv,"['county', 'revocation_indicator']",2,dmv,True,11,21,0.009593673047619052,0.006094886999999993,0.012405490148729166,0.002707099887599066,0.003946762844783241,0.015240583250454862,0.00564691020283581,-0.022539967999999994,0.036765100999999994,False
fd:body_type:county,fd,"['body_type', 'county']",2,dmv,True,0,21,0.015636238380952378,0.012734807999999986,0.010907299029666548,0.002380167782426921,0.01067129645301777,0.020601180308886986,0.004964941927934607,0.0035204249999999937,0.047239205000000006,True
fd:county:revocation_indicator,fd,"['county', 'revocation_indicator']",2,dmv,True,11,21,0.008279945,0.010719003000000005,0.007701537417039764,0.0016806132467199716,0.004774247950032269,0.011785642049967732,0.003505697049967732,-0.008481318999999987,0.017585295999999986,True
fd:registration_class:scofflaw_indicator,fd,"['registration_class', 'scofflaw_indicator']",2,dmv,True,27,21,0.002385111857142856,0.003971990999999994,0.00996400795522365,0.0021743247942835496,-0.00215044921371524,0.006920672928000951,0.004535561070858096,-0.02431483200000001,0.017599510999999998,False
fd:body_type:revocation_indicator,fd,"['body_type', 'revocation_indicator']",2,dmv,True,4,21,0.005756494428571427,0.00563403799999998,0.010436067876758872,0.002277336714425934,0.0010060543037373627,0.01050693455340549,0.004750440124834064,-0.014136388,0.042468239000000005,False
mcv:record_type:state,mcv,"['record_type', 'state']",2,dmv,True,24,21,0.001114954714285714,0.001412584999999994,0.0040879675560788285,0.0008920676554407079,-0.0007458654084603513,0.0029757748370317794,0.0018608201227460653,-0.006840858999999991,0.008201401999999997,False
fd:state:suspension_indicator,fd,"['state', 'suspension_indicator']",2,dmv,True,35,21,0.0043159073333333305,0.004126012999999998,0.004255894631343116,0.0009287123475183814,0.002378647738766845,0.006253166927899816,0.0019372595945664854,-0.0028565440000000164,0.011371304999999984,True
mcv:registration_class:state,mcv,"['registration_class', 'state']",2,dmv,True,28,21,0.00200645214285714,0.0021869529999999915,0.002758446008251829,0.000601942268250609,0.000750822843150295,0.0032620814425639846,0.001255629299706845,-0.002211458999999999,0.006545840000000011,False
mcv:record_type:scofflaw_indicator,mcv,"['record_type', 'scofflaw_indicator']",2,dmv,True,23,21,0.0014874553809523813,0.0010127469999999944,0.0045295571822562665,0.000988430412015249,-0.0005743738865861836,0.0035492846484909465,0.002061829267538565,-0.008994668000000011,0.008687149000000005,False
fd:revocation_indicator:state,fd,"['revocation_indicator', 'state']",2,dmv,True,31,21,0.0046087836190476196,0.004644497000000011,0.0035455585845563533,0.0007737043140299989,0.002994865047040661,0.0062227021910545785,0.0016139185720069585,-0.0009368210000000043,0.011572711000000013,True
fd:body_type:suspension_indicator,fd,"['body_type', 'suspension_indicator']",2,dmv,True,7,21,0.005554112285714284,0.006380352000000006,0.003909869201880033,0.0008532034083329442,0.0037743615444578707,0.007333863026970697,0.0017797507412564133,-0.0017972189999999888,0.011772445999999992,True
mcv:record_type:registration_class,mcv,"['record_type', 'registration_class']",2,dmv,True,21,21,0.003619083380952381,0.0026213100000000017,0.004019760847962008,0.0008771837314955131,0.0017893105728508062,0.005448856189053956,0.001829772808101575,-0.005257839,0.010320230000000014,False
mcv:body_type:record_type,mcv,"['body_type', 'record_type']",2,dmv,True,2,21,0.003596158428571429,0.002832899,0.0035565352776781452,0.0007760996248448042,0.001977243326831287,0.005215073530311571,0.0016189151017401422,-0.0028235280000000057,0.01048527199999999,True
fd:body_type:scofflaw_indicator,fd,"['body_type', 'scofflaw_indicator']",2,dmv,True,5,21,0.005205252714285714,0.004658153999999998,0.005764292277191565,0.0012578716994323675,0.0025813788905226748,0.007829126538048754,0.0026238738237630396,-0.006190294000000013,0.015416780000000005,False
fd:revocation_indicator:suspension_indicator,fd,"['revocation_indicator', 'suspension_indicator']",2,dmv,True,32,21,0.004189423285714286,0.003406582000000019,0.004917002140409988,0.0010729778333661262,0.0019512312254923812,0.0064276153459361905,0.0022381920602219047,-0.005917433999999999,0.014971499999999985,False
mcv:revocation_indicator:scofflaw_indicator,mcv,"['revocation_indicator', 'scofflaw_indicator']",2,dmv,True,30,21,0.0033486636190476213,0.002289308000000004,0.004796124768078074,0.0010466002281985856,0.001165494267233815,0.005531832970861428,0.0021831693518138064,-0.0018945690000000126,0.016163982000000007,False
mcv:registration_class:revocation_indicator,mcv,"['registration_class', 'revocation_indicator']",2,dmv,True,26,21,0.0034031742380952394,0.003611318000000016,0.0037433125033464695,0.0008168577569742778,0.0016992391807839039,0.0051071092954065745,0.0017039350573113355,-0.0034515410000000024,0.010882325000000012,False
mcv:county:fuel_type,mcv,"['county', 'fuel_type']",2,dmv,True,8,21,0.005605271809523811,0.005818470000000006,0.004107009339214408,0.0008962229131828853,0.0037357839728721,0.007474759646175522,0.001869487836651711,0.00012977000000000127,0.013183202000000005,True
mcv:scofflaw_indicator:state,mcv,"['scofflaw_indicator', 'state']",2,dmv,True,33,21,0.0045474518571428585,0.0035044079999999866,0.009636965683136284,0.002102958319650659,0.00016075861180941085,0.008934145102476306,0.004386693245333448,-0.011331365999999982,0.028978790000000004,False
mcv:body_type:revocation_indicator,mcv,"['body_type', 'revocation_indicator']",2,dmv,True,4,21,0.00543457923809524,0.0058340610000000015,0.00474057380640824,0.001034478014542414,0.003276696375446302,0.007592462100744178,0.002157882862648938,-0.0027999789999999802,0.012234505999999992,True
mcv:body_type:state,mcv,"['body_type', 'state']",2,dmv,True,6,21,0.007092700571428573,0.008140749000000003,0.005125729087915173,0.0011185257874861067,0.004759497164186692,0.009425903978670455,0.0023332034072418815,-0.0023954239999999793,0.016403449999999986,True
fd:record_type:registration_class,fd,"['record_type', 'registration_class']",2,dmv,True,21,21,0.0029038537142857127,0.004614527999999993,0.0058141259345074175,0.0012687462949945764,0.0002572958865399411,0.005550411542031484,0.0026465578277457716,-0.008442841000000006,0.015104515999999998,False
mcv:fuel_type:record_type,mcv,"['fuel_type', 'record_type']",2,dmv,True,15,21,0.0031196602380952378,0.00244878300000001,0.00621243688740548,0.0013556648707938792,0.00029179347721942526,0.00594752699897105,0.0028278667608758125,-0.008873043000000011,0.02270626499999999,False
mcv:fuel_type:registration_class,mcv,"['fuel_type', 'registration_class']",2,dmv,True,16,21,0.00246938404761905,0.002457926000000027,0.003578766196031975,0.0007809508089459856,0.000840349555337655,0.004098418539900445,0.001629034492281395,-0.003952662999999995,0.010216103000000004,False
fd:record_type:scofflaw_indicator,fd,"['record_type', 'scofflaw_indicator']",2,dmv,True,23,21,0.0037086891428571465,0.003624879999999997,0.003815565350739194,0.0008326246208958612,0.001971864990779353,0.00544551329493494,0.0017368241520777934,-0.0014212639999999777,0.009907468999999988,True
mcv:county:suspension_indicator,mcv,"['county', 'suspension_indicator']",2,dmv,True,14,21,0.00410562090476191,0.004704208000000015,0.003344505076415686,0.0007298308416589975,0.0025832207728023826,0.005628021036721438,0.0015224001319595274,-0.0025338889999999836,0.011255475000000015,True
mcv:fuel_type:scofflaw_indicator,mcv,"['fuel_type', 'scofflaw_indicator']",2,dmv,True,18,21,0.0011057818095238092,0.0013937680000000174,0.005642203081855755,0.001231229652805577,-0.0014625176907314707,0.003674081309779089,0.00256829950025528,-0.013481376000000017,0.012231947999999992,False
