subject,mechanism,state,repetition,block_id,execution_order,warmup,start_ns,end_ns,elapsed_seconds,database,command,valid,invalid_reason
mcv:county:scofflaw_indicator,mcv,candidate,-1,mcv:county:scofflaw_indicator:-1,1,True,9884077218885,9884211346757,0.134127872,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,-1,mcv:county:scofflaw_indicator:-1,2,True,9884213012307,9884335339443,0.122327136,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,0,mcv:county:scofflaw_indicator:0,3,False,9884335557645,9884464815753,0.129258108,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,0,mcv:county:scofflaw_indicator:0,4,False,9884466406014,9884617997049,0.151591035,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,1,mcv:county:scofflaw_indicator:1,5,False,9884620542499,9884747745981,0.127203482,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,1,mcv:county:scofflaw_indicator:1,6,False,9884748798327,9884872815264,0.124016937,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,2,mcv:county:scofflaw_indicator:2,7,False,9884873035287,9884990704484,0.117669197,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,2,mcv:county:scofflaw_indicator:2,8,False,9884992665723,9885120338193,0.12767247,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,3,mcv:county:scofflaw_indicator:3,9,False,9885123089189,9885251305784,0.128216595,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,3,mcv:county:scofflaw_indicator:3,10,False,9885252291387,9885368919591,0.116628204,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,4,mcv:county:scofflaw_indicator:4,11,False,9885369366400,9885491144599,0.121778199,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,4,mcv:county:scofflaw_indicator:4,12,False,9885493552929,9885620383178,0.126830249,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,5,mcv:county:scofflaw_indicator:5,13,False,9885623155853,9885752593102,0.129437249,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,5,mcv:county:scofflaw_indicator:5,14,False,9885753580024,9885877267184,0.12368716,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,6,mcv:county:scofflaw_indicator:6,15,False,9885877568972,9885998292186,0.120723214,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,6,mcv:county:scofflaw_indicator:6,16,False,9886000230889,9886123843527,0.123612638,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,7,mcv:county:scofflaw_indicator:7,17,False,9886126519051,9886254516959,0.127997908,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,7,mcv:county:scofflaw_indicator:7,18,False,9886255764438,9886376295853,0.120531415,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,8,mcv:county:scofflaw_indicator:8,19,False,9886376556644,9886491784899,0.115228255,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,8,mcv:county:scofflaw_indicator:8,20,False,9886493713997,9886618053913,0.124339916,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,9,mcv:county:scofflaw_indicator:9,21,False,9886620753307,9886750469758,0.129716451,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,9,mcv:county:scofflaw_indicator:9,22,False,9886751563359,9886868352338,0.116788979,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,baseline,10,mcv:county:scofflaw_indicator:10,23,False,9886868609267,9886988830957,0.12022169,dmv_candidate_cost_v0,ANALYZE dmv,True,
mcv:county:scofflaw_indicator,mcv,candidate,10,mcv:county:scofflaw_indicator:10,24,False,9886990705504,9887116702575,0.125997071,dmv_candidate_cost_v0,ANALYZE dmv,True,
