query,truth,zero_truth,frozen_estimate,fresh_replay_estimate,fresh_native_estimate,frozen_qerror,fresh_replay_qerror,semantic_relative_error,mcv_trace_changed,fd_trace_changed,control_class
dmv.1,1675,False,,2373.8629862902767,2373.862986290276,,1.4172316336061352,3.831285575559816e-16,False,False,unchanged
dmv.2,1425737,False,,1316513.6342972594,1316513.6342972592,,1.0829640976419077,1.768539554686436e-16,False,False,unchanged
dmv.3,91168,False,,88893.12151570356,88893.12151570355,,1.0255911643725388,1.6370125134818402e-16,False,False,unchanged
dmv.4,419998,False,,501524.6005879682,501524.6005879682,,1.1941118781231534,0.0,False,False,unchanged
dmv.5,1758632,False,,1790931.55808305,1790931.5580830497,,1.0183662972600578,1.3000532745264894e-16,False,False,unchanged
dmv.6,8323690,False,,8300442.456570681,8300442.45657068,,1.0028007595439585,1.1220155786734451e-16,False,False,unchanged
dmv.7,6618156,False,,6665970.685875352,6665970.685875349,,1.0072247746767153,4.1913891547207467e-16,False,False,unchanged
dmv.8,308248,False,,225729.74657480768,225729.74657480765,,1.3655621586313413,1.2893218948034654e-16,False,False,unchanged
dmv.9,4206687,False,,4276979.262372387,4276979.262372384,,1.0167096487978275,6.532572529464776e-16,False,False,unchanged
dmv.10,11441212,False,,11540319.208253756,11540319.208253756,,1.008662299785526,0.0,False,False,unchanged
dmv.11,80327,False,,91393.0713594778,91393.07135947776,,1.1377627866032318,4.77670189169907e-16,False,False,unchanged
dmv.12,192825,False,,157958.73023147733,157958.7302314773,,1.2207302484479878,1.842495847749859e-16,False,False,unchanged
dmv.13,1071263,False,,1195491.8856545307,1195491.8856545317,,1.115964880383744,7.79028771161905e-16,False,False,unchanged
dmv.14,246537,False,,242172.5342736096,242172.53427360958,,1.018022133432602,1.201780810694735e-16,False,False,unchanged
dmv.15,1114669,False,,1088200.3944331645,1088200.3944331645,,1.024323282459958,0.0,False,False,unchanged
dmv.16,4081573,False,,4052995.095882668,4052995.095882667,,1.0070510581536019,2.2978625746712227e-16,False,False,unchanged
dmv.17,10683907,False,,10798248.036630904,10798248.036630904,,1.010702174460233,0.0,False,False,unchanged
dmv.18,8453470,False,,8522631.156575363,8522631.156575363,,1.0081813925613226,0.0,False,False,unchanged
dmv.19,7983,False,,8393.505147026755,8393.505147026757,,1.0514224160123706,2.1671392007071081e-16,False,False,unchanged
dmv.20,460781,False,,417945.6434384332,417945.6434384332,,1.1024902573673478,0.0,False,False,unchanged
dmv.21,215180,False,,393965.262887846,393965.2628878459,,1.8308637554040617,1.4774820624233048e-16,False,False,unchanged
dmv.22,5368992,False,,5439104.506831889,5439104.506831886,,1.0130587840011476,5.136815665771859e-16,False,False,unchanged
dmv.23,3156559,False,,3139420.0906629153,3139420.0906629157,,1.0054592596218832,1.48327166756906e-16,False,False,unchanged
dmv.24,11456073,False,,11547245.397252778,11547245.397252778,,1.0079584336842806,0.0,False,False,unchanged
dmv.25,273373,False,,278494.2937577533,278494.2937577532,,1.01873372190287,2.0900845086649793e-16,False,False,unchanged
dmv.26,10074321,False,,10203403.845515942,10203403.845515942,,1.0128130566333893,0.0,False,True,fd
dmv.27,9765689,False,,9812874.562137425,9812874.562137425,,1.0048317698973852,0.0,False,False,unchanged
dmv.28,14817,False,,12244.206736187058,12244.206736187058,,1.2101233113133576,0.0,False,False,unchanged
dmv.29,368284,False,,335919.7497267391,335919.74972673925,,1.0963451845257337,5.19835415698103e-16,False,False,unchanged
dmv.30,203609,False,,410564.84628416196,410564.84628416173,,2.0164376146641945,5.670983421038487e-16,False,False,unchanged
dmv.31,2552289,False,,2515473.7919277344,2515473.791927735,,1.0146354965773872,1.8511871950408175e-16,False,False,unchanged
dmv.32,1682586,False,,1639315.7360494346,1639315.7360494358,,1.0263953203150735,7.101458203987139e-16,False,False,unchanged
dmv.33,3825880,False,,3858134.22766907,3858134.22766907,,1.0084305382471668,0.0,False,False,unchanged
dmv.34,4497812,False,,4976824.433872,4976824.433872,,1.1064989897025488,0.0,False,False,unchanged
dmv.35,11456866,False,,11551767.715641849,11551767.71564185,,1.0082833923030825,1.6124330016684921e-16,False,False,unchanged
dmv.36,56871,False,,89144.52412775854,89144.52412775856,,1.5674864892081826,1.6323958617482322e-16,False,False,unchanged
dmv.37,11532546,False,,11620352.171486221,11620352.17148622,,1.0076137716239086,1.6029162642776674e-16,False,False,unchanged
dmv.38,312977,False,,408619.3502459383,408619.3502459383,,1.3055890696311176,0.0,False,False,unchanged
dmv.39,4817978,False,,4719148.977343297,4719148.977343298,,1.020942128153017,1.9734968721834628e-16,False,False,unchanged
dmv.40,1896066,False,,1906049.4070963108,1906049.4070963105,,1.0052653267852019,1.2215351962390394e-16,False,False,unchanged
dmv.41,11541839,False,,11634950.02643168,11634950.02643168,,1.0080672608959178,0.0,False,False,unchanged
dmv.42,69760,False,,106905.92599499346,106905.92599499343,,1.532481737313553,2.722377659223183e-16,False,False,unchanged
