configuration,family,run_order,mcv_count,fd_count,total_count,subset_seed,phase,repetition,seconds,mcv_ids,fd_ids
fd_16_s0,fd_only,0,0,16,16,0,warmup,0,0.23671620200002508,,2;3;4;5;6;9;10;11;15;16;18;21;24;28;30;34
fd_16_s0,fd_only,0,0,16,16,0,measured,0,0.218938538000657,,2;3;4;5;6;9;10;11;15;16;18;21;24;28;30;34
fd_16_s0,fd_only,0,0,16,16,0,measured,1,0.2264977840004576,,2;3;4;5;6;9;10;11;15;16;18;21;24;28;30;34
fd_16_s0,fd_only,0,0,16,16,0,measured,2,0.22318190500118362,,2;3;4;5;6;9;10;11;15;16;18;21;24;28;30;34
fd_16_s0,fd_only,0,0,16,16,0,measured,3,0.21828469699903508,,2;3;4;5;6;9;10;11;15;16;18;21;24;28;30;34
fd_16_s0,fd_only,0,0,16,16,0,measured,4,0.21547820300111198,,2;3;4;5;6;9;10;11;15;16;18;21;24;28;30;34
fd_16_s0,fd_only,0,0,16,16,0,measured,5,0.22480319699934626,,2;3;4;5;6;9;10;11;15;16;18;21;24;28;30;34
fd_16_s0,fd_only,0,0,16,16,0,measured,6,0.22589395200157014,,2;3;4;5;6;9;10;11;15;16;18;21;24;28;30;34
fd_24_s0,fd_only,1,0,24,24,0,warmup,0,0.26158985599977314,,5;6;7;8;9;11;12;13;14;15;16;17;19;20;22;23;24;25;27;28;30;32;33;34
fd_24_s0,fd_only,1,0,24,24,0,measured,0,0.2628220410006179,,5;6;7;8;9;11;12;13;14;15;16;17;19;20;22;23;24;25;27;28;30;32;33;34
fd_24_s0,fd_only,1,0,24,24,0,measured,1,0.2833516669998062,,5;6;7;8;9;11;12;13;14;15;16;17;19;20;22;23;24;25;27;28;30;32;33;34
fd_24_s0,fd_only,1,0,24,24,0,measured,2,0.2599675900000875,,5;6;7;8;9;11;12;13;14;15;16;17;19;20;22;23;24;25;27;28;30;32;33;34
fd_24_s0,fd_only,1,0,24,24,0,measured,3,0.2711216700008663,,5;6;7;8;9;11;12;13;14;15;16;17;19;20;22;23;24;25;27;28;30;32;33;34
fd_24_s0,fd_only,1,0,24,24,0,measured,4,0.28417731700028526,,5;6;7;8;9;11;12;13;14;15;16;17;19;20;22;23;24;25;27;28;30;32;33;34
fd_24_s0,fd_only,1,0,24,24,0,measured,5,0.27845159499884176,,5;6;7;8;9;11;12;13;14;15;16;17;19;20;22;23;24;25;27;28;30;32;33;34
fd_24_s0,fd_only,1,0,24,24,0,measured,6,0.3829948679995141,,5;6;7;8;9;11;12;13;14;15;16;17;19;20;22;23;24;25;27;28;30;32;33;34
fd_04_s0,fd_only,2,0,4,4,0,warmup,0,0.16603626899996016,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,0,0.17072586699941894,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,1,0.1679700339991541,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,2,0.17834908999975596,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,3,0.18055405000086466,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,4,0.19071638399873336,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,5,0.1824768859987671,,0;13;23;33
fd_04_s0,fd_only,2,0,4,4,0,measured,6,0.1847495109996089,,0;13;23;33
mixed_04_16,mixed,3,4,16,20,2,warmup,0,0.27338388999851304,0;3;12;25,1;2;5;7;9;15;17;18;19;23;24;26;27;29;31;34
mixed_04_16,mixed,3,4,16,20,2,measured,0,0.2650669310005469,0;3;12;25,1;2;5;7;9;15;17;18;19;23;24;26;27;29;31;34
mixed_04_16,mixed,3,4,16,20,2,measured,1,0.2667938699996739,0;3;12;25,1;2;5;7;9;15;17;18;19;23;24;26;27;29;31;34
mixed_04_16,mixed,3,4,16,20,2,measured,2,0.2800935350005602,0;3;12;25,1;2;5;7;9;15;17;18;19;23;24;26;27;29;31;34
mixed_04_16,mixed,3,4,16,20,2,measured,3,0.2780269529994257,0;3;12;25,1;2;5;7;9;15;17;18;19;23;24;26;27;29;31;34
mixed_04_16,mixed,3,4,16,20,2,measured,4,0.26818718899994565,0;3;12;25,1;2;5;7;9;15;17;18;19;23;24;26;27;29;31;34
mixed_04_16,mixed,3,4,16,20,2,measured,5,0.26932782999938354,0;3;12;25,1;2;5;7;9;15;17;18;19;23;24;26;27;29;31;34
mixed_04_16,mixed,3,4,16,20,2,measured,6,0.27802786599932006,0;3;12;25,1;2;5;7;9;15;17;18;19;23;24;26;27;29;31;34
mixed_16_16,mixed,4,16,16,32,3,warmup,0,0.3018290899999556,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,0,0.28909212199869216,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,1,0.28236439899956167,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,2,0.2848213340002985,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,3,0.28514585199991416,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,4,0.29005793200121843,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,5,0.2769113379999908,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,6,0.266329942000084,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mcv_28_s0,mcv_only,5,28,0,28,0,warmup,0,0.23157716300011089,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,0,0.22918550099893764,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
